Threat_ID,Timestamp,Source,Threat_Title,Threat_Description,Threat_Category,Target_Organization,District,State,Severity,Confidence,Telegram_Handle,Domain,IP_Address,Crypto_Wallet,Status
TH001,2026-07-05 09:15:22,Dark Web,Fake SBI Banking APK,"Selling Android banking malware targeting SBI customers in Bhopal. Malware steals OTPs and credentials.",Banking Malware,SBI,Bhopal,Madhya Pradesh,Critical,98,@BankHackStore,bankupdate-apk.xyz,185.92.221.45,bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,Active
TH002,2026-07-05 10:05:41,Telegram,Credential Leak,"Leaked employee credentials of IIITDM Jabalpur available for sale.",Credential Leak,IIITDM Jabalpur,Jabalpur,Madhya Pradesh,High,95,@DataLeak_MP,iiitdm-leak.net,103.45.87.120,,Active
TH003,2026-07-05 11:22:10,OSINT,Investment Scam,"Fraudulent investment platform targeting Indore citizens through social media.",Investment Scam,Public,Indore,Madhya Pradesh,Medium,90,@InvestFast,investprofit.site,172.67.98.12,,Under Investigation
TH004,2026-07-05 12:40:55,Dark Web,Fake Aadhaar Documents,"Selling fake Aadhaar and PAN card generation services for Jabalpur residents.",Identity Fraud,Jabalpur Municipal Corporation,Jabalpur,Madhya Pradesh,High,92,@DocForge,darkdocs.store,91.201.55.18,,Active
TH005,2026-07-05 13:55:08,CERT-In,Ransomware Campaign,"Ransomware campaign targeting AIIMS Bhopal hospital network.",Ransomware,AIIMS Bhopal,Bhopal,Madhya Pradesh,Critical,97,,hospital-locker.onion,45.83.64.190,,Active
TH006,2026-07-05 14:18:34,Email,Phishing Campaign,"Phishing emails impersonating Collector Office Indore asking users to update KYC.",Phishing,Collector Office Indore,Indore,Madhya Pradesh,High,91,,collector-update.in,203.15.111.41,,Blocked
TH007,2026-07-05 15:30:17,Telegram,Mule Account Recruitment,"Recruiting mule bank accounts for laundering cyber fraud money in Gwalior.",Money Laundering,Public,Gwalior,Madhya Pradesh,High,89,@MoneyMule_MP,,154.62.78.22,,Active
TH008,2026-07-05 16:45:03,Dark Web,Fake UPI APK,"Android APK impersonating PhonePe and Google Pay targeting Ujjain users.",Fake APK,PhonePe,Ujjain,Madhya Pradesh,Critical,96,@UPIHackLab,fakeupi-app.xyz,188.114.22.61,,Active
TH009,2026-07-05 17:12:48,Police Intelligence,Data Breach,"Sensitive citizen database allegedly stolen from municipal records.",Data Breach,Bhopal Municipal Corporation,Bhopal,Madhya Pradesh,High,93,,,198.51.100.14,,Investigating
TH010,2026-07-05 18:28:51,Dark Web,Crypto Scam,"Selling fake cryptocurrency investment opportunities targeting students.",Financial Fraud,Rani Durgavati University,Jabalpur,Madhya Pradesh,Medium,88,@CryptoIndia,cryptoxprofit.biz,104.26.15.98,0x71C7656EC7ab88b098defB751B7401B5f6d8976F,Active
